PARAMETER_TYPE,PARAMETER_NAME,PARAMETER_TYPE_SUB,MEASURED_TYPE,CAS_RN,PUBCHEM_CID,INCHIKEY_SD
Quality parameter,pH,pH,Physical parameter,NA,NA,NA
Quality parameter,Dissolved oxygen,Dissolved oxygen,Concentration,7782-44-7,977,MYMOFIZGZYHOMD-UHFFFAOYSA-N
Quality parameter,Temperature,Temperature,Physical parameter,NA,NA,NA
Quality parameter,Conductivity,Conductivity,Physical parameter,NA,NA,NA
Quality parameter,Salinity,Salinity,Physical parameter,NA,NA,NA
Quality parameter,Turbidity,Turbidity,Physical parameter,NA,NA,NA
Quality parameter,Total organic carbon,Total organic carbon,Concentration,NA,NA,NA
Quality parameter,Alkalinity,Other,Concentration,NA,NA,NA
Quality parameter,Hardness,Other,Concentration,NA,NA,NA
Quality parameter,Chlorophyll a,Other,Concentration,479-61-8,5280804,ATNHDLDRLWWWCB-AENOIHSZSA-M
Quality parameter,Total suspended solids,Other,Concentration,NA,NA,NA
Quality parameter,Biochemical oxygen demand,Other,Concentration,NA,NA,NA
Quality parameter,Chemical oxygen demand,Other,Concentration,NA,NA,NA
Quality parameter,Nitrate,Nutrient,Concentration,14797-55-8,943,WFNGDWGWFMLTPK-UHFFFAOYSA-N
Quality parameter,Nitrite,Nutrient,Concentration,14797-65-0,946,IOVCWXUNBOPUCH-UHFFFAOYSA-M
Quality parameter,Ammonia,Nutrient,Concentration,7664-41-7,222,QGZKDVFQNNGYKY-UHFFFAOYSA-N
Quality parameter,Total nitrogen,Nutrient,Concentration,NA,NA,NA
Quality parameter,Phosphate,Nutrient,Concentration,14265-44-2,1061,NBIIXXVUZAFLBC-UHFFFAOYSA-K
Quality parameter,Total phosphorus,Nutrient,Concentration,NA,NA,NA
Quality parameter,Redox potential,Other,Physical parameter,NA,NA,NA
Quality parameter,Suspended particulate matter,Other,Concentration,NA,NA,NA
Quality parameter,Dissolved organic carbon,Other,Concentration,NA,NA,NA
Quality parameter,Particulate organic carbon,Other,Concentration,NA,NA,NA
Quality parameter,Total organic nitrogen,Nutrient,Concentration,NA,NA,NA
Quality parameter,Dissolved inorganic nitrogen,Nutrient,Concentration,NA,NA,NA
Quality parameter,Particulate nitrogen,Nutrient,Concentration,NA,NA,NA
Quality parameter,Dissolved phosphorus,Nutrient,Concentration,NA,NA,NA
Quality parameter,Particulate phosphorus,Nutrient,Concentration,NA,NA,NA
Quality parameter,Secchi depth,Other,Physical parameter,NA,NA,NA
Quality parameter,Light attenuation coefficient,Other,Physical parameter,NA,NA,NA
Quality parameter,Photosynthetically active radiation,Other,Irradiance,NA,NA,NA
Quality parameter,UV radiation,Other,Irradiance,NA,NA,NA
